"","Re1..Intercept.","Re1.sd","sample","shape","BetaSigma","status","segs"
"6729",0.92,1.894,10886,1,500,-1,27
"6730",4.039,0.468,10886,1,500,1,27
"6731",-5.028,1.571,10886,1,500,-1,26
"6732",0.87,2.941,10886,1,500,1,26
"6733",0.939,0.643,10886,1,500,-1,25
"6734",2.124,3.215,10886,1,500,1,25
"6735",-1.984,1.161,10886,1,500,-1,23
"6736",1.55,1.377,10886,1,500,1,23
"6737",-1.872,2.111,10886,1,500,-1,22
"6738",3.896,2.029,10886,1,500,1,22
"6739",-1.903,1.296,10886,1,500,-1,21
"6740",1.929,1.36,10886,1,500,1,21
"6741",-6.16,0.845,10886,1,500,-1,20
"6742",-0.909,2.677,10886,1,500,1,20
"6743",0.512,0.999,10886,1,500,-1,19
"6744",1.639,3.435,10886,1,500,1,19
"6745",-4.801,1.755,10886,1,500,-1,18
"6746",0.867,1.414,10886,1,500,1,18
"6747",-2.6,1.363,10886,1,500,-1,17
"6748",2.112,2.663,10886,1,500,1,17
"6749",-3.896,0.888,10886,1,500,-1,16
"6750",-0.666,1.2,10886,1,500,1,16
"6751",-0.823,1.396,10886,1,500,-1,15
"6752",3.001,1.01,10886,1,500,1,15
"6753",-5.696,2.072,10886,1,500,-1,14
"6754",2.011,2.425,10886,1,500,1,14
"6755",-3.135,3.401,10886,1,500,-1,13
"6756",6.396,1.679,10886,1,500,1,13
"6757",-9.094,1.938,10886,1,500,-1,12
"6758",0.827,4.939,10886,1,500,1,12
"6759",-1.763,3.613,10886,1,500,-1,11
"6760",9.038,1.065,10886,1,500,1,11
"6761",-3.95,3.001,10886,1,500,-1,10
"6762",6.938,2.822,10886,1,500,1,10
"6763",-2.012,1.953,10886,1,500,-1,9
"6764",3.12,4.272,10886,1,500,1,9
"6765",-0.509,0.756,10886,1,500,-1,7
"6766",2.298,1.18,10886,1,500,1,7
"6767",-2.552,2.016,10886,1,500,-1,6
"6768",3.645,1.717,10886,1,500,1,6
"6769",-3.766,1.856,10886,1,500,-1,5
"6770",3.345,2.234,10886,1,500,1,5
"6771",-3.446,2.107,10886,1,500,-1,4
"6772",4.504,2.722,10886,1,500,1,4
"6773",-2.799,2.802,10886,1,500,-1,3
"6774",3.266,1.75,10886,1,500,1,3
"6775",-3.77,1.509,10886,1,500,-1,2
"6776",0.663,1.43,10886,1,500,1,2
"6777",-2.166,2.693,10886,1,500,-1,1
"6778",5.307,2.085,10886,1,500,1,1
"6779",-5.08,1.389,10887,1,500,-1,88
"6780",-0.238,1.829,10887,1,500,1,88
"6781",2.286,2.995,10887,1,500,-1,87
"6782",7.567,0.737,10887,1,500,1,87
"6783",-1.06,0.439,10887,1,500,-1,86
"6784",0.758,0.589,10887,1,500,1,86
"6785",-3.386,0.619,10887,1,500,-1,85
"6786",-0.379,1.363,10887,1,500,1,85
"6787",-5.685,2.907,10887,1,500,-1,84
"6788",4.186,3.736,10887,1,500,1,84
"6789",0.369,1.966,10887,1,500,-1,83
"6790",4.765,1.423,10887,1,500,1,83
"6791",-1.459,1.44,10887,1,500,-1,82
"6792",2.97,1.282,10887,1,500,1,82
"6793",-4.845,1.318,10887,1,500,-1,81
"6794",0.791,2.746,10887,1,500,1,81
"6795",-5.016,1.737,10887,1,500,-1,80
"6796",1.449,2.488,10887,1,500,1,80
"6797",-1.766,2.765,10887,1,500,-1,79
"6798",5.425,2.369,10887,1,500,1,79
"6799",-0.095,1.484,10887,1,500,-1,78
"6800",4.874,1.121,10887,1,500,1,78
"6801",-1.302,3.236,10887,1,500,-1,77
"6802",8.414,1.228,10887,1,500,1,77
"6803",-2.343,1.431,10887,1,500,-1,76
"6804",2.285,1.134,10887,1,500,1,76
"6805",-1.688,1.846,10887,1,500,-1,75
"6806",2.862,3.688,10887,1,500,1,75
"6807",-6.062,2.651,10887,1,500,-1,74
"6808",1.802,2.898,10887,1,500,1,74
"6809",-4.301,2.847,10887,1,500,-1,73
"6810",3.451,1.97,10887,1,500,1,73
"6811",-0.847,1.968,10887,1,500,-1,72
"6812",3.022,1.534,10887,1,500,1,72
"6813",-5.264,1.92,10887,1,500,-1,71
"6814",1.056,2.332,10887,1,500,1,71
"6815",-1.711,0.323,10887,1,500,-1,70
"6816",0.176,0.695,10887,1,500,1,70
"6817",0.306,2.747,10887,1,500,-1,69
"6818",5.71,1.546,10887,1,500,1,69
"6819",-6.193,2.531,10887,1,500,-1,68
"6820",2.308,3.335,10887,1,500,1,68
"6821",-7.668,2.718,10887,1,500,-1,67
"6822",1.224,3.058,10887,1,500,1,67
"6823",-3.056,1.732,10887,1,500,-1,65
"6824",1.911,1.783,10887,1,500,1,65
"6825",-1.927,0.491,10887,1,500,-1,64
"6826",-0.484,0.389,10887,1,500,1,64
"6827",-3.956,1.775,10887,1,500,-1,63
"6828",1.604,2.165,10887,1,500,1,63
"6829",-0.512,3.82,10887,1,500,-1,62
"6830",-0.466,3.821,10887,1,500,1,62
"6831",-5.136,1.877,10887,1,500,-1,61
"6832",1.507,3.293,10887,1,500,1,61
"6833",-3.633,0.752,10887,1,500,-1,60
"6834",-0.569,0.979,10887,1,500,1,60
"6835",-1.489,1.937,10887,1,500,-1,59
"6836",5.526,1.397,10887,1,500,1,59
"6837",-0.104,0.74,10887,1,500,-1,58
"6838",0.897,5.776,10887,1,500,1,58
"6839",-4.708,1.843,10887,1,500,-1,57
"6840",2.588,2.991,10887,1,500,1,57
"6841",1.2,0.749,10887,1,500,-1,56
"6842",3,0,10887,1,500,1,56
"6843",-2.783,1.62,10887,1,500,-1,55
"6844",-2.128,6.204,10887,1,500,1,55
"6845",-1.134,4.951,10887,1,500,-1,54
"6846",2.292,1.334,10887,1,500,1,54
"6847",-3.212,4.008,10887,1,500,-1,53
"6848",7.739,3.234,10887,1,500,1,53
"6849",-0.299,2.153,10887,1,500,-1,52
"6850",5.581,2.518,10887,1,500,1,52
"6851",-1.595,0.758,10887,1,500,-1,51
"6852",1.528,1.025,10887,1,500,1,51
"6853",-8.394,1.819,10887,1,500,-1,50
"6854",1.314,3.869,10887,1,500,1,50
"6855",-5.623,2.073,10887,1,500,-1,49
"6856",3.006,3.273,10887,1,500,1,49
"6857",-9.189,2.836,10887,1,500,-1,48
"6858",1.95,2.598,10887,1,500,1,48
"6859",-5.821,3.01,10887,1,500,-1,46
"6860",5.644,2.494,10887,1,500,1,46
"6861",-4.517,1.288,10887,1,500,-1,45
"6862",0.561,2.18,10887,1,500,1,45
"6863",-1.219,1.023,10887,1,500,-1,44
"6864",2.182,0.559,10887,1,500,1,44
"6865",-5.756,2.076,10887,1,500,-1,43
"6866",2.647,2.637,10887,1,500,1,43
"6867",1.325,3.115,10887,1,500,-1,42
"6868",10.932,1.959,10887,1,500,1,42
"6869",-3.353,1.098,10887,1,500,-1,41
"6870",-0.205,1.401,10887,1,500,1,41
"6871",-3.736,2.284,10887,1,500,-1,40
"6872",2.734,1.812,10887,1,500,1,40
"6873",-9.397,2.497,10887,1,500,-1,39
"6874",0.668,4.271,10887,1,500,1,39
"6875",-2.409,1.549,10887,1,500,-1,38
"6876",0.567,4.434,10887,1,500,1,38
"6877",-1.458,0.52,10887,1,500,-1,37
"6878",-0.205,0.231,10887,1,500,1,37
"6879",-4.843,2.836,10887,1,500,-1,36
"6880",3.106,2.873,10887,1,500,1,36
"6881",-2.294,2.075,10887,1,500,-1,35
"6882",3.457,1.552,10887,1,500,1,35
"6883",-3.051,0.828,10887,1,500,-1,34
"6884",-0.615,0.646,10887,1,500,1,34
"6885",-3.968,3.402,10887,1,500,-1,33
"6886",5.186,3.745,10887,1,500,1,33
"6887",-5.55,1.672,10887,1,500,-1,32
"6888",1.197,2.01,10887,1,500,1,32
"6889",-5.083,1.301,10887,1,500,-1,31
"6890",1.849,3.064,10887,1,500,1,31
"6891",-2.952,1.818,10887,1,500,-1,30
"6892",3.69,1.951,10887,1,500,1,30
"6893",-0.524,2.685,10887,1,500,-1,29
"6894",-0.01,0.832,10887,1,500,1,29
"6895",-0.224,1.978,10887,1,500,-1,28
"6896",5.032,1.305,10887,1,500,1,28
"6897",-4.152,0.302,10887,1,500,-1,27
"6898",0.661,1.462,10887,1,500,1,27
"6899",-0.68,2.532,10887,1,500,-1,26
"6900",6.614,2.579,10887,1,500,1,26
"6901",-4.542,2.112,10887,1,500,-1,25
"6902",2.433,2.207,10887,1,500,1,25
"6903",-2.614,2.332,10887,1,500,-1,24
"6904",3.801,5.439,10887,1,500,1,24
"6905",-2.452,1.568,10887,1,500,-1,22
"6906",2.89,1.871,10887,1,500,1,22
"6907",-2.209,1.42,10887,1,500,-1,21
"6908",3.917,1.955,10887,1,500,1,21
"6909",-3.248,2.165,10887,1,500,-1,20
"6910",2.677,1.871,10887,1,500,1,20
"6911",-3.328,1.476,10887,1,500,-1,19
"6912",1.347,1.404,10887,1,500,1,19
"6913",-7.065,1.281,10887,1,500,-1,18
"6914",-1.065,1.931,10887,1,500,1,18
"6915",-4.947,1.007,10887,1,500,-1,17
"6916",1.413,2.419,10887,1,500,1,17
"6917",-4.735,3.437,10887,1,500,-1,16
"6918",5.184,4.789,10887,1,500,1,16
"6919",-2.029,2.54,10887,1,500,-1,15
"6920",4.015,1.9,10887,1,500,1,15
"6921",-1.056,0.35,10887,1,500,-1,14
"6922",0.138,0.476,10887,1,500,1,14
"6923",-0.051,1.155,10887,1,500,-1,13
"6924",3.396,0.807,10887,1,500,1,13
"6925",-1.253,1.138,10887,1,500,-1,12
"6926",1.142,1.001,10887,1,500,1,12
"6927",0.388,1.611,10887,1,500,-1,11
"6928",4.635,1.367,10887,1,500,1,11
"6929",-6.511,1.134,10887,1,500,-1,10
"6930",-2.124,1.769,10887,1,500,1,10
"6931",-4.738,2.131,10887,1,500,-1,9
"6932",0.847,2.357,10887,1,500,1,9
"6933",-2.474,0.58,10887,1,500,-1,8
"6934",2.488,1.97,10887,1,500,1,8
"6935",-8.169,1.399,10887,1,500,-1,7
"6936",2.312,2.833,10887,1,500,1,7
"6937",-0.979,1.227,10887,1,500,-1,6
"6938",2.231,0.674,10887,1,500,1,6
"6939",2.077,1.333,10887,1,500,-1,5
"6940",6.235,1.138,10887,1,500,1,5
"6941",-4.565,1.957,10887,1,500,-1,4
"6942",2.019,2.058,10887,1,500,1,4
"6943",-8.87,0.337,10887,1,500,-1,3
"6944",-0.274,2.954,10887,1,500,1,3
"6945",-14.408,2.29,10887,1,500,-1,2
"6946",-2.73,6.031,10887,1,500,1,2
"6947",-1.536,4.225,10887,1,500,-1,1
"6948",0.201,1.279,10887,1,500,1,1
"6949",-4.916,1.69,10894,1,500,-1,44
"6950",1.266,2.592,10894,1,500,1,44
"6951",-4.216,1.322,10894,1,500,-1,43
"6952",0.591,2.078,10894,1,500,1,43
"6953",-3.912,1.908,10894,1,500,-1,42
"6954",2.254,2.125,10894,1,500,1,42
"6955",-3.836,6.378,10894,1,500,-1,41
"6956",0.817,1.993,10894,1,500,1,41
"6957",-0.521,1.309,10894,1,500,-1,40
"6958",2.493,0.186,10894,1,500,1,40
"6959",-2.819,3.138,10894,1,500,-1,39
"6960",6.74,1.888,10894,1,500,1,39
"6961",-2.859,4.244,10894,1,500,-1,38
"6962",8.852,4.188,10894,1,500,1,38
"6963",1.251,0.687,10894,1,500,-1,37
"6964",4.398,0.97,10894,1,500,1,37
"6965",-1.741,2.84,10894,1,500,-1,36
"6966",6.808,2.093,10894,1,500,1,36
"6967",-3.771,3.776,10894,1,500,-1,35
"6968",5.369,2.475,10894,1,500,1,35
"6969",-5.152,2.01,10894,1,500,-1,34
"6970",2.549,3.148,10894,1,500,1,34
"6971",-3.734,2.222,10894,1,500,-1,33
"6972",2.441,1.81,10894,1,500,1,33
"6973",-2.278,1.179,10894,1,500,-1,32
"6974",1.276,1.081,10894,1,500,1,32
"6975",-0.171,3.765,10894,1,500,-1,31
"6976",7.531,1.1,10894,1,500,1,31
"6977",-10.94,1.252,10894,1,500,-1,30
"6978",0.462,4.859,10894,1,500,1,30
"6979",-4.958,1.044,10894,1,500,-1,29
"6980",0.25,1.151,10894,1,500,1,29
"6981",-1.284,0.521,10894,1,500,-1,28
"6982",-0.19,0.643,10894,1,500,1,28
"6983",-3.057,1.941,10894,1,500,-1,27
"6984",3.619,2.303,10894,1,500,1,27
"6985",-7.292,1.586,10894,1,500,-1,26
"6986",-0.519,2.551,10894,1,500,1,26
"6987",-4.329,1.56,10894,1,500,-1,25
"6988",0.756,1.281,10894,1,500,1,25
"6989",-2.058,2.368,10894,1,500,-1,24
"6990",-1.015,7.566,10894,1,500,1,24
"6991",-3.3,1.106,10894,1,500,-1,23
"6992",0.547,0.851,10894,1,500,1,23
"6993",-1.459,3.644,10894,1,500,-1,22
"6994",7.214,2.135,10894,1,500,1,22
"6995",-0.778,1.75,10894,1,500,-1,21
"6996",2.762,1.02,10894,1,500,1,21
"6997",0.462,1.757,10894,1,500,-1,20
"6998",4.431,0.835,10894,1,500,1,20
"6999",-1.145,1.547,10894,1,500,-1,19
"7000",2.713,3.92,10894,1,500,1,19
"7001",-0.259,1.01,10894,1,500,-1,18
"7002",2.275,3.379,10894,1,500,1,18
"7003",-1.727,2.122,10894,1,500,-1,17
"7004",4.496,2.177,10894,1,500,1,17
"7005",-3.091,1.93,10894,1,500,-1,16
"7006",2.753,1.632,10894,1,500,1,16
"7007",-0.123,1.941,10894,1,500,-1,15
"7008",6.367,1.585,10894,1,500,1,15
"7009",-4.987,2.101,10894,1,500,-1,14
"7010",1.917,2.618,10894,1,500,1,14
"7011",-6.695,2.022,10894,1,500,-1,13
"7012",0.749,3.073,10894,1,500,1,13
"7013",-3.236,2.284,10894,1,500,-1,12
"7014",3.149,2.051,10894,1,500,1,12
"7015",-3.327,2.345,10894,1,500,-1,11
"7016",2.663,1.439,10894,1,500,1,11
"7017",-6.376,1.136,10894,1,500,-1,10
"7018",0.424,2.884,10894,1,500,1,10
"7019",-0.761,3.086,10894,1,500,-1,9
"7020",6.354,2.3,10894,1,500,1,9
"7021",-3.916,0.979,10894,1,500,-1,8
"7022",-0.866,0.828,10894,1,500,1,8
"7023",-4.259,1.529,10894,1,500,-1,7
"7024",3.156,1.627,10894,1,500,1,7
"7025",0.728,1.951,10894,1,500,-1,6
"7026",1.861,0.757,10894,1,500,1,6
"7027",-3.648,3.405,10894,1,500,-1,5
"7028",3.615,1.981,10894,1,500,1,5
"7029",1.122,0.688,10894,1,500,-1,4
"7030",2.748,4.355,10894,1,500,1,4
"7031",-0.896,2.266,10894,1,500,-1,3
"7032",6.051,2.011,10894,1,500,1,3
"7033",-2.441,4.995,10894,1,500,-1,2
"7034",-1.506,1.182,10894,1,500,1,2
"7035",-0.759,1.535,10894,1,500,-1,1
"7036",2.899,1.027,10894,1,500,1,1
"7037",-3.299,3.704,10901,1,500,-1,25
"7038",2.923,1.468,10901,1,500,1,25
"7039",1.043,0.667,10901,1,500,-1,24
"7040",3.149,0.695,10901,1,500,1,24
"7041",-5.88,1.677,10901,1,500,-1,23
"7042",3.277,3.254,10901,1,500,1,23
"7043",-2.948,2.325,10901,1,500,-1,22
"7044",3.339,2.605,10901,1,500,1,22
"7045",-2.168,0.994,10901,1,500,-1,21
"7046",0.872,1.201,10901,1,500,1,21
"7047",-1.563,0.555,10901,1,500,-1,20
"7048",0.279,0.739,10901,1,500,1,20
"7049",-2.865,0.591,10901,1,500,-1,19
"7050",-0.958,0.629,10901,1,500,1,19
"7051",-5.127,1.378,10901,1,500,-1,18
"7052",2.433,2.993,10901,1,500,1,18
"7053",-0.17,0.605,10901,1,500,-1,17
"7054",0.819,0.586,10901,1,500,1,17
"7055",-4.12,6.106,10901,1,500,-1,16
"7056",-0.694,0.985,10901,1,500,1,16
"7057",-0.745,0.843,10901,1,500,-1,15
"7058",4.342,1.874,10901,1,500,1,15
"7059",-1.615,3.434,10901,1,500,-1,13
"7060",2.239,0.963,10901,1,500,1,13
"7061",-0.365,0.412,10901,1,500,-1,12
"7062",0.927,0.641,10901,1,500,1,12
"7063",-3.626,0.535,10901,1,500,-1,11
"7064",0.661,1.81,10901,1,500,1,11
"7065",-4.458,0.917,10901,1,500,-1,10
"7066",2.268,2.289,10901,1,500,1,10
"7067",-2.054,1.744,10901,1,500,-1,9
"7068",1.863,1.648,10901,1,500,1,9
"7069",-1.541,0.703,10901,1,500,-1,8
"7070",0.997,0.973,10901,1,500,1,8
"7071",-3.385,3.66,10901,1,500,-1,7
"7072",5.085,2.695,10901,1,500,1,7
"7073",-1.458,0.52,10901,1,500,-1,6
"7074",-0.205,0.231,10901,1,500,1,6
"7075",-5.35,1.574,10901,1,500,-1,5
"7076",0.971,2.888,10901,1,500,1,5
"7077",1.319,1.046,10901,1,500,-1,4
"7078",4.518,0.65,10901,1,500,1,4
"7079",-1.423,3.371,10901,1,500,-1,3
"7080",6.395,1.618,10901,1,500,1,3
"7081",-6.807,1.891,10901,1,500,-1,2
"7082",0.785,3.471,10901,1,500,1,2
"7083",0.338,2.22,10901,1,500,-1,1
"7084",3.649,1.123,10901,1,500,1,1
"7085",-4.506,1.87,10903,1,500,-1,63
"7086",1.806,2.396,10903,1,500,1,63
"7087",-3.66,0.672,10903,1,500,-1,62
"7088",1.263,1.759,10903,1,500,1,62
"7089",-2.175,2.022,10903,1,500,-1,61
"7090",2.506,1.558,10903,1,500,1,61
"7091",-4.843,1.231,10903,1,500,-1,60
"7092",0.252,2.906,10903,1,500,1,60
"7093",-3.95,2.51,10903,1,500,-1,59
"7094",2.539,2.547,10903,1,500,1,59
"7095",-3.372,1.403,10903,1,500,-1,58
"7096",2.488,2.146,10903,1,500,1,58
"7097",-4.311,0.453,10903,1,500,-1,57
"7098",-1.44,0.976,10903,1,500,1,57
"7099",-2.828,1.767,10903,1,500,-1,56
"7100",3.105,2.27,10903,1,500,1,56
"7101",-1.917,1.104,10903,1,500,-1,55
"7102",0.792,1.211,10903,1,500,1,55
"7103",-1.439,1.277,10903,1,500,-1,54
"7104",2.151,1.018,10903,1,500,1,54
"7105",3.811,2.49,10903,1,500,-1,53
"7106",13.984,4.12,10903,1,500,1,53
"7107",-4.143,2.05,10903,1,500,-1,52
"7108",2.871,2.286,10903,1,500,1,52
"7109",-1.93,1.465,10903,1,500,-1,51
"7110",2.2,1.334,10903,1,500,1,51
"7111",-2.805,3.294,10903,1,500,-1,50
"7112",-1.326,0.888,10903,1,500,1,50
"7113",-3.748,2.187,10903,1,500,-1,49
"7114",1.466,1.752,10903,1,500,1,49
"7115",-2.21,2.332,10903,1,500,-1,48
"7116",4.083,1.761,10903,1,500,1,48
"7117",-2.474,1.943,10903,1,500,-1,47
"7118",3.453,1.637,10903,1,500,1,47
"7119",-4.078,1.6,10903,1,500,-1,46
"7120",1.25,1.697,10903,1,500,1,46
"7121",0.085,0.876,10903,1,500,-1,45
"7122",0.943,4.533,10903,1,500,1,45
"7123",-1.027,2.149,10903,1,500,-1,44
"7124",2.403,6.652,10903,1,500,1,44
"7125",-1.449,2.002,10903,1,500,-1,43
"7126",3.287,1.952,10903,1,500,1,43
"7127",-3.988,1.949,10903,1,500,-1,42
"7128",2.055,1.867,10903,1,500,1,42
"7129",-0.944,1.581,10903,1,500,-1,41
"7130",3.071,0.808,10903,1,500,1,41
"7131",-2.389,2.796,10903,1,500,-1,40
"7132",2.831,1.671,10903,1,500,1,40
"7133",-2.339,2.792,10903,1,500,-1,39
"7134",4.826,1.777,10903,1,500,1,39
"7135",-3.45,2.501,10903,1,500,-1,38
"7136",3.195,1.93,10903,1,500,1,38
"7137",-2.318,2.657,10903,1,500,-1,37
"7138",2.362,1.717,10903,1,500,1,37
"7139",-3.369,2.081,10903,1,500,-1,36
"7140",3.015,2.103,10903,1,500,1,36
"7141",3.058,2.853,10903,1,500,-1,35
"7142",10.853,1.024,10903,1,500,1,35
"7143",-3.364,1.258,10903,1,500,-1,34
"7144",0.908,1.929,10903,1,500,1,34
"7145",-0.723,1.471,10903,1,500,-1,33
"7146",4.369,1.309,10903,1,500,1,33
"7147",-0.902,2.335,10903,1,500,-1,32
"7148",5.311,1.798,10903,1,500,1,32
"7149",-2.989,3.658,10903,1,500,-1,31
"7150",6.435,2.256,10903,1,500,1,31
"7151",-2.15,0.687,10903,1,500,-1,30
"7152",-0.002,0.608,10903,1,500,1,30
"7153",-5.449,2.166,10903,1,500,-1,29
"7154",0.344,2.154,10903,1,500,1,29
"7155",0.707,0,10903,1,500,-1,28
"7156",0.707,0.707,10903,1,500,1,28
"7157",-1.253,3.811,10903,1,500,-1,27
"7158",5.466,1.254,10903,1,500,1,27
"7159",-4.365,3.083,10903,1,500,-1,26
"7160",2.62,2.258,10903,1,500,1,26
"7161",-1.058,2.236,10903,1,500,-1,25
"7162",5.629,1.777,10903,1,500,1,25
"7163",-1.08,0.441,10903,1,500,-1,24
"7164",0.7,0.596,10903,1,500,1,24
"7165",-2.194,1.118,10903,1,500,-1,23
"7166",1.847,1.6,10903,1,500,1,23
"7167",-2.135,2.06,10903,1,500,-1,22
"7168",5.748,1.771,10903,1,500,1,22
"7169",-6.791,2.177,10903,1,500,-1,21
"7170",-1.139,0.965,10903,1,500,1,21
"7171",-1.939,1.947,10903,1,500,-1,20
"7172",2.599,1.274,10903,1,500,1,20
"7173",-3.713,1.909,10903,1,500,-1,19
"7174",2.356,2.181,10903,1,500,1,19
"7175",-4.704,11.904,10903,1,500,-1,18
"7176",0.253,2.222,10903,1,500,1,18
"7177",-3.497,1.526,10903,1,500,-1,17
"7178",1.216,1.882,10903,1,500,1,17
"7179",-0.665,0.871,10903,1,500,-1,16
"7180",2.679,1.436,10903,1,500,1,16
"7181",-1.828,1.03,10903,1,500,-1,15
"7182",1.297,0.891,10903,1,500,1,15
"7183",-8.633,1.841,10903,1,500,-1,14
"7184",1.088,3.372,10903,1,500,1,14
"7185",-0.11,1.046,10903,1,500,-1,13
"7186",2.659,0.819,10903,1,500,1,13
"7187",-4.906,0.917,10903,1,500,-1,11
"7188",0.532,1.3,10903,1,500,1,11
"7189",-5.572,1.488,10903,1,500,-1,10
"7190",0.778,3.823,10903,1,500,1,10
"7191",-2.378,1.508,10903,1,500,-1,9
"7192",1.895,1.399,10903,1,500,1,9
"7193",-0.68,2.552,10903,1,500,-1,8
"7194",5.727,1.451,10903,1,500,1,8
"7195",-2.489,2.39,10903,1,500,-1,7
"7196",5.608,2.482,10903,1,500,1,7
"7197",-2.014,2.992,10903,1,500,-1,6
"7198",5.27,2.308,10903,1,500,1,6
"7199",-6.763,2.326,10903,1,500,-1,5
"7200",0.464,2.058,10903,1,500,1,5
"7201",-5.535,1.834,10903,1,500,-1,4
"7202",1.834,2.733,10903,1,500,1,4
"7203",-3.558,2.494,10903,1,500,-1,3
"7204",4.538,3.935,10903,1,500,1,3
"7205",-4.682,2.34,10903,1,500,-1,2
"7206",2.44,2.887,10903,1,500,1,2
"7207",-1.409,6.279,10903,1,500,-1,1
"7208",1.041,1.468,10903,1,500,1,1
"7209",-3.259,2.683,10904,1,500,-1,105
"7210",4.482,2.917,10904,1,500,1,105
"7211",-1.536,1.798,10904,1,500,-1,104
"7212",2.587,1.546,10904,1,500,1,104
"7213",0.147,0.53,10904,1,500,-1,103
"7214",1.995,0.929,10904,1,500,1,103
"7215",-2.412,2.937,10904,1,500,-1,102
"7216",5.81,2.724,10904,1,500,1,102
"7217",-1.414,4.644,10904,1,500,-1,101
"7218",8.226,0.673,10904,1,500,1,101
"7219",-3.203,1.346,10904,1,500,-1,100
"7220",1.056,1.859,10904,1,500,1,100
"7221",-0.665,2.094,10904,1,500,-1,99
"7222",3.216,1.198,10904,1,500,1,99
"7223",-2.556,1.084,10904,1,500,-1,98
"7224",2.985,1.868,10904,1,500,1,98
"7225",-4.679,2.34,10904,1,500,-1,97
"7226",5.259,3.47,10904,1,500,1,97
"7227",-2.314,1.917,10904,1,500,-1,96
"7228",2.744,1.729,10904,1,500,1,96
"7229",-5.382,0.767,10904,1,500,-1,95
"7230",-0.438,1.476,10904,1,500,1,95
"7231",-2.568,1.03,10904,1,500,-1,94
"7232",0.814,1.509,10904,1,500,1,94
"7233",-1.532,3.158,10904,1,500,-1,93
"7234",7.35,1.991,10904,1,500,1,93
"7235",-2.066,1.862,10904,1,500,-1,92
"7236",2.929,2.11,10904,1,500,1,92
"7237",-1.658,2.67,10904,1,500,-1,91
"7238",3.624,1.64,10904,1,500,1,91
"7239",-2.395,5.199,10904,1,500,-1,90
"7240",-1.198,1.542,10904,1,500,1,90
"7241",-3.311,1.337,10904,1,500,-1,89
"7242",1.935,2.014,10904,1,500,1,89
"7243",-0.326,1.99,10904,1,500,-1,88
"7244",3.39,0.994,10904,1,500,1,88
"7245",-4.554,1.655,10904,1,500,-1,87
"7246",0.676,1.831,10904,1,500,1,87
"7247",-3.001,0.901,10904,1,500,-1,86
"7248",0.825,0.769,10904,1,500,1,86
"7249",-9.034,2.71,10904,1,500,-1,85
"7250",2.412,3.827,10904,1,500,1,85
"7251",-5.863,2.293,10904,1,500,-1,84
"7252",1.499,2.711,10904,1,500,1,84
"7253",-4.508,5.214,10904,1,500,-1,83
"7254",1.173,2.084,10904,1,500,1,83
"7255",-2.655,0.862,10904,1,500,-1,82
"7256",0.288,1.204,10904,1,500,1,82
"7257",-1.195,1.271,10904,1,500,-1,81
"7258",2.593,1.787,10904,1,500,1,81
"7259",-4.634,0.732,10904,1,500,-1,80
"7260",-1.649,0.92,10904,1,500,1,80
"7261",-5.934,0.827,10904,1,500,-1,79
"7262",0.868,2.48,10904,1,500,1,79
"7263",-4.311,0.453,10904,1,500,-1,78
"7264",-1.44,0.976,10904,1,500,1,78
"7265",-1.718,2.711,10904,1,500,-1,77
"7266",6.773,3.32,10904,1,500,1,77
"7267",-2.221,2.986,10904,1,500,-1,76
"7268",6.499,3.88,10904,1,500,1,76
"7269",-2.23,1.603,10904,1,500,-1,75
"7270",2.009,6.066,10904,1,500,1,75
"7271",-1.085,1.393,10904,1,500,-1,74
"7272",2.576,1.362,10904,1,500,1,74
"7273",-3.032,0.707,10904,1,500,-1,73
"7274",-1.276,0.702,10904,1,500,1,73
"7275",-3.485,1.764,10904,1,500,-1,72
"7276",2.205,2.207,10904,1,500,1,72
"7277",-6.039,0.854,10904,1,500,-1,71
"7278",-0.271,2.46,10904,1,500,1,71
"7279",-0.598,3.673,10904,1,500,-1,70
"7280",-0.523,1.105,10904,1,500,1,70
"7281",-3.023,1.804,10904,1,500,-1,68
"7282",1.503,1.587,10904,1,500,1,68
"7283",-6.52,1.681,10904,1,500,-1,67
"7284",0.403,3.024,10904,1,500,1,67
"7285",-4.906,3.18,10904,1,500,-1,66
"7286",8.233,4.205,10904,1,500,1,66
"7287",-3.372,1.89,10904,1,500,-1,65
"7288",1.904,2.085,10904,1,500,1,65
"7289",-3.277,0.717,10904,1,500,-1,64
"7290",-1.045,0.99,10904,1,500,1,64
"7291",-3.457,1.801,10904,1,500,-1,63
"7292",0.596,1.617,10904,1,500,1,63
"7293",-1.5,1.344,10904,1,500,-1,62
"7294",2.791,1.309,10904,1,500,1,62
"7295",-0.812,1.32,10904,1,500,-1,61
"7296",3.063,1.07,10904,1,500,1,61
"7297",-1.002,1.501,10904,1,500,-1,60
"7298",3.172,1.343,10904,1,500,1,60
"7299",-5.584,1.358,10904,1,500,-1,59
"7300",1.919,3.013,10904,1,500,1,59
"7301",-3.156,1.015,10904,1,500,-1,58
"7302",1.125,1.034,10904,1,500,1,58
"7303",-1.42,1.441,10904,1,500,-1,57
"7304",3.354,1.457,10904,1,500,1,57
"7305",-0.743,0.214,10904,1,500,-1,56
"7306",0.427,0.396,10904,1,500,1,56
"7307",-2.65,2.781,10904,1,500,-1,55
"7308",4.801,2.168,10904,1,500,1,55
"7309",-2.441,2.097,10904,1,500,-1,54
