"","Re1..Intercept.","Re1.sd","sample","shape","BetaSigma","status","segs"
"121",-2.021,1.407,10024,1,500,-1,2
"122",2.1,2.076,10024,1,500,1,2
"123",-2.351,1.341,10024,1,500,-1,1
"124",3.002,1.548,10024,1,500,1,1
"125",0.933,1.126,10025,1,500,-1,64
"126",5.228,0.767,10025,1,500,1,64
"127",-3.048,2.645,10025,1,500,-1,63
"128",3.75,2.476,10025,1,500,1,63
"129",-0.498,1.642,10025,1,500,-1,62
"130",2.601,0.228,10025,1,500,1,62
"131",-1.62,2.124,10025,1,500,-1,61
"132",3.585,1.732,10025,1,500,1,61
"133",-2.59,4.01,10025,1,500,-1,60
"134",7.167,2.112,10025,1,500,1,60
"135",0.293,0.266,10025,1,500,-1,59
"136",1.544,0.612,10025,1,500,1,59
"137",-0.386,1.311,10025,1,500,-1,58
"138",1.711,0.494,10025,1,500,1,58
"139",-2.695,0.638,10025,1,500,-1,57
"140",-1.422,0.661,10025,1,500,1,57
"141",-1.121,1.897,10025,1,500,-1,56
"142",3.72,1.414,10025,1,500,1,56
"143",0.744,0.465,10025,1,500,-1,55
"144",3.58,1.095,10025,1,500,1,55
"145",-9.436,0.915,10025,1,500,-1,54
"146",-3.793,2.071,10025,1,500,1,54
"147",-1.375,1.798,10025,1,500,-1,53
"148",2.458,1.182,10025,1,500,1,53
"149",0.014,1.298,10025,1,500,-1,52
"150",5.697,2.187,10025,1,500,1,52
"151",-2.235,1.388,10025,1,500,-1,51
"152",2.134,1.29,10025,1,500,1,51
"153",-1.79,3.625,10025,1,500,-1,50
"154",5.679,1.952,10025,1,500,1,50
"155",-1.494,2.134,10025,1,500,-1,49
"156",4.143,1.915,10025,1,500,1,49
"157",-0.346,1.31,10025,1,500,-1,48
"158",3.609,1.509,10025,1,500,1,48
"159",-2.152,1.496,10025,1,500,-1,47
"160",1.108,1.122,10025,1,500,1,47
"161",-4.031,2.409,10025,1,500,-1,46
"162",3.091,2.775,10025,1,500,1,46
"163",-4.297,2.634,10025,1,500,-1,45
"164",2.973,2.897,10025,1,500,1,45
"165",-3.485,1.042,10025,1,500,-1,44
"166",-0.315,1.498,10025,1,500,1,44
"167",-1.466,5.275,10025,1,500,-1,43
