"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.151,0.996,"11191",1,20,"-1"
"2",0.15,3.014,"11191",1,20,"1"
"3",-0.27,1.038,"11191",2,20,"-1"
"4",0.523,2.89,"11191",2,20,"1"
"5",-1.165,0.981,"11191",3,20,"-1"
"6",1.184,1.07,"11191",3,20,"1"
"7",-0.028,2.65,"11191",4,20,"-1"
"8",-0.328,0.772,"11191",4,20,"1"
"9",-0.4,0.7,"11191",5,20,"-1"
"10",0.107,2.058,"11191",5,20,"1"
"11",-0.126,1.117,"11191",6,20,"-1"
"12",3.08,0.999,"11191",6,20,"1"
"13",-0.744,0.684,"11191",7,20,"-1"
"14",0.82,0.679,"11191",7,20,"1"
