"","-1","-1to1","1to-1","1","sample","shape","BetaSigma","model"
"1",0.939114901669027,0.0608850983309732,0.0988042903888758,0.901195709611124,"10998",1,20,"sign"
"2",0.820402579636506,0.179597420363494,0.171994765376706,0.828005234623294,"10998",1,20,"gaussian"
"3",0.902221424491431,0.0977785755085692,0.0939002422449706,0.906099757755029,"10998",2,20,"sign"
"4",0.796825396825397,0.203174603174603,0.193353474320242,0.806646525679758,"10998",2,20,"gaussian"
"5",0.873055444430891,0.126944555569109,0.0817883791808115,0.918211620819189,"10998",3,20,"sign"
"6",0.779661016949153,0.220338983050847,0.13,0.87,"10998",3,20,"gaussian"
"7",0.913759538587692,0.0862404614123084,0.105860262145561,0.894139737854439,"10998",4,20,"sign"
"8",0.737556561085973,0.262443438914027,0.188311688311688,0.811688311688312,"10998",4,20,"gaussian"
"9",0.87814495957912,0.12185504042088,0.0872051788467074,0.912794821153292,"10998",5,20,"sign"
"10",0.755102040816326,0.244897959183673,0.12972972972973,0.87027027027027,"10998",5,20,"gaussian"
