"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status","segs"
"1",-1.874,1.805,"10878",1,500,"-1",40
"2",6.543,3.245,"10878",1,500,"1",40
"3",-3.575,0.936,"10878",1,500,"-1",39
"4",0.297,0.846,"10878",1,500,"1",39
"5",-4.464,3.459,"10878",1,500,"-1",38
"6",1.595,1.341,"10878",1,500,"1",38
"7",0.737,1.746,"10878",1,500,"-1",37
"8",5.327,1.856,"10878",1,500,"1",37
"9",-2.512,0.978,"10878",1,500,"-1",36
"10",1.116,1.886,"10878",1,500,"1",36
"11",-1.68,5.651,"10878",1,500,"-1",35
"12",8.454,4.385,"10878",1,500,"1",35
"13",-3.581,2.071,"10878",1,500,"-1",34
"14",2.649,1.385,"10878",1,500,"1",34
"15",-4.329,1.075,"10878",1,500,"-1",32
"16",-0.753,1.111,"10878",1,500,"1",32
"17",-2.069,2.048,"10878",1,500,"-1",31
"18",4.02,1.424,"10878",1,500,"1",31
"19",-2.196,1.644,"10878",1,500,"-1",30
"20",1.438,1.381,"10878",1,500,"1",30
"21",-5.434,1.909,"10878",1,500,"-1",29
"22",2.519,3.328,"10878",1,500,"1",29
"23",-2.605,1.124,"10878",1,500,"-1",28
"24",1.111,1.038,"10878",1,500,"1",28
"25",-1.459,1.214,"10878",1,500,"-1",27
"26",2.472,1.808,"10878",1,500,"1",27
"27",-1.817,0.87,"10878",1,500,"-1",26
"28",0.458,0.671,"10878",1,500,"1",26
"29",-2.545,1.68,"10878",1,500,"-1",25
"30",3.951,1.413,"10878",1,500,"1",25
"31",-1.157,2.374,"10878",1,500,"-1",24
"32",4.96,1.787,"10878",1,500,"1",24
"33",-4.351,2.513,"10878",1,500,"-1",23
"34",2.165,8.532,"10878",1,500,"1",23
"35",0.072,1.098,"10878",1,500,"-1",22
"36",1.65,0.78,"10878",1,500,"1",22
"37",-10.626,3.691,"10878",1,500,"-1",21
"38",1.51,3.961,"10878",1,500,"1",21
"39",-2.556,1.15,"10878",1,500,"-1",20
"40",3.281,1.827,"10878",1,500,"1",20
"41",-2.031,1.205,"10878",1,500,"-1",19
"42",-0.302,4.255,"10878",1,500,"1",19
"43",-0.333,1.107,"10878",1,500,"-1",18
"44",0.091,6.231,"10878",1,500,"1",18
"45",-6.043,2.675,"10878",1,500,"-1",17
"46",1.409,1.85,"10878",1,500,"1",17
"47",0.52,0.536,"10878",1,500,"-1",16
"48",2.476,0.684,"10878",1,500,"1",16
"49",-2.19,1.992,"10878",1,500,"-1",15
"50",2.97,2.587,"10878",1,500,"1",15
"51",-1.782,1.785,"10878",1,500,"-1",14
"52",2.224,1.796,"10878",1,500,"1",14
"53",-0.646,0.856,"10878",1,500,"-1",13
"54",0.267,4.037,"10878",1,500,"1",13
"55",-1.015,0.95,"10878",1,500,"-1",12
"56",0.774,0.74,"10878",1,500,"1",12
"57",-0.075,1.317,"10878",1,500,"-1",11
"58",2.744,0.762,"10878",1,500,"1",11
"59",-2.455,3.078,"10878",1,500,"-1",10
"60",10.947,1.743,"10878",1,500,"1",10
"61",-0.108,1.988,"10878",1,500,"-1",9
"62",5.072,1.295,"10878",1,500,"1",9
"63",-5.014,1.96,"10878",1,500,"-1",8
"64",0.098,2.317,"10878",1,500,"1",8
"65",-4.32,3.329,"10878",1,500,"-1",7
"66",4.92,2.624,"10878",1,500,"1",7
"67",-1.08,2.922,"10878",1,500,"-1",6
"68",4.982,1.817,"10878",1,500,"1",6
"69",-3.262,2.318,"10878",1,500,"-1",5
"70",2.595,1.481,"10878",1,500,"1",5
"71",-6.821,3.214,"10878",1,500,"-1",4
"72",6.698,4.245,"10878",1,500,"1",4
"73",-1.064,3.232,"10878",1,500,"-1",3
"74",6.247,1.718,"10878",1,500,"1",3
"75",-2.98,2.441,"10878",1,500,"-1",2
"76",1.922,1.611,"10878",1,500,"1",2
"77",-0.571,0.59,"10878",1,500,"-1",1
"78",3.217,1.212,"10878",1,500,"1",1
