"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.312,0.94,"11435",1,20,"-1"
"2",0.079,2.797,"11435",1,20,"1"
"3",-0.504,0.974,"11435",2,20,"-1"
"4",0.416,2.659,"11435",2,20,"1"
"5",-0.297,0.986,"11435",3,20,"-1"
"6",0.725,2.767,"11435",3,20,"1"
"7",-0.25,0.964,"11435",4,20,"-1"
"8",0.282,2.791,"11435",4,20,"1"
"9",-0.417,2.133,"11435",5,20,"-1"
"10",0.137,0.749,"11435",5,20,"1"
"11",-0.15,1.314,"11435",6,20,"-1"
"12",3.145,1.378,"11435",6,20,"1"
"13",-0.049,2.076,"11435",7,20,"-1"
"14",-0.029,0.694,"11435",7,20,"1"
"15",-1.449,1.152,"11435",8,20,"-1"
"16",0.85,1.027,"11435",8,20,"1"
"17",-0.674,0.987,"11435",9,20,"-1"
"18",1.384,0.716,"11435",9,20,"1"
"19",-0.362,1.946,"11435",10,20,"-1"
"20",0.217,0.734,"11435",10,20,"1"
"21",-0.508,0.949,"11435",11,20,"-1"
"22",1.661,1.06,"11435",11,20,"1"
