"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.484,1.028,"11458",1,20,"-1"
"2",0.867,2.831,"11458",1,20,"1"
"3",-0.274,1.054,"11458",2,20,"-1"
"4",0.664,3.389,"11458",2,20,"1"
"5",-0.121,1.023,"11458",3,20,"-1"
"6",0.146,3.399,"11458",3,20,"1"
"7",-0.379,1.054,"11458",4,20,"-1"
"8",2.222,1.126,"11458",4,20,"1"
"9",-1.142,0.912,"11458",5,20,"-1"
"10",1.094,1.125,"11458",5,20,"1"
"11",-1.103,1.124,"11458",6,20,"-1"
"12",1.433,1.112,"11458",6,20,"1"
"13",0.444,3.515,"11458",7,20,"-1"
"14",0.074,1.176,"11458",7,20,"1"
"15",-1.784,2.959,"11458",8,20,"-1"
"16",0.329,1.005,"11458",8,20,"1"
"17",-0.261,1.164,"11458",9,20,"-1"
"18",3.009,1.144,"11458",9,20,"1"
