"","Variable","Beta","SE","HR","HR (95% CI)","P"
"1","mean","-0.19","0.20","0.83","0.83 (0.57, 1.22)","0.34"
"2","sd","-0.57","0.24","0.57","0.57 (0.36, 0.90)","0.02"
"3","kurtosis","-0.28","0.15","0.75","0.75 (0.59, 0.97)","0.03"
"4","skewness","1.23","0.44","3.44","3.44 (1.68, 7.01)","<0.001"
"5","area","0.00","0.00","1.00","1.00 (1.00, 1.00)","0.54"
"6","stage","","","","",""
"7","\ \ \ 1 (ref)","-","-","-","-","-"
"8","\ \ \ 2","0.41","0.38","1.50","1.50 (0.44, 5.12)","0.52"
"9","\ \ \ 3","1.09","0.27","2.97","2.97 (1.36, 6.48)","0.006"
"10","\ \ \ 4","1.76","0.36","5.80","5.80 (2.24, 15.01)","<0.001"
"11","tobaccoTRUE","0.00","0.23","1.00","1.00 (0.52, 1.91)","1.00"
"12","femaleTRUE","-0.08","0.24","0.92","0.92 (0.50, 1.69)","0.79"
"13","K","0.01","0.01","1.01","1.01 (1.00, 1.03)","0.06"
