"","Variable","Beta","SE","HR","HR (95% CI)","P"
"1","mean","-0.12","0.11","0.89","0.89 (0.70, 1.12)","0.31"
"2","sd","-0.31","0.14","0.73","0.73 (0.56, 0.95)","0.02"
"3","kurtosis","-0.44","0.17","0.64","0.64 (0.48, 0.86)","0.003"
"4","skewness","1.80","0.50","6.05","6.05 (2.24, 16.39)","<0.001"
"5","area","0.00","0.00","1.00","1.00 (1.00, 1.00)","0.44"
"6","stage","","","","",""
"7","\ \ \ 1 (ref)","-","-","-","-","-"
"8","\ \ \ 2","0.41","0.38","1.51","1.51 (0.45, 5.07)","0.50"
"9","\ \ \ 3","1.14","0.27","3.13","3.13 (1.50, 6.54)","0.002"
"10","\ \ \ 4","1.74","0.35","5.70","5.70 (2.30, 14.10)","<0.001"
"11","tobaccoTRUE","-0.09","0.23","0.91","0.91 (0.48, 1.72)","0.78"
"12","femaleTRUE","-0.13","0.23","0.88","0.88 (0.49, 1.58)","0.67"
"13","K","0.01","0.01","1.01","1.01 (1.00, 1.03)","0.06"
