"","num","equil","pn","elapse"
"elapsed132","4","FALSE","200",7.84999999997672
"elapsed133","4","FALSE","200",7.51799999998184
"elapsed134","4","FALSE","200",6.98599999997532
"elapsed135","4","FALSE","200",7.48700000002282
"elapsed136","4","FALSE","200",7.87300000002142
"elapsed137","4","FALSE","200",7.03100000001723
"elapsed138","4","FALSE","200",7.4429999999702
"elapsed139","4","FALSE","200",6.99700000003213
"elapsed140","4","FALSE","200",6.94000000000233
"elapsed141","4","FALSE","200",6.82300000003306
"elapsed142","4","FALSE","200",7.39400000002934
"elapsed143","4","FALSE","200",8.05200000002515
"elapsed144","4","FALSE","200",7.22000000003027
"elapsed145","4","FALSE","200",6.85099999996601
"elapsed146","4","FALSE","200",7.15299999999115
"elapsed147","4","FALSE","200",7.06200000003446
"elapsed148","4","FALSE","200",6.6479999999865
"elapsed149","4","FALSE","200",7.75699999998324
"elapsed150","4","FALSE","300",16.8859999999986
"elapsed151","4","FALSE","300",17.3719999999739
"elapsed152","4","FALSE","300",17.4230000000098
"elapsed153","4","FALSE","300",16.689000000013
"elapsed154","4","FALSE","300",16.3069999999716
"elapsed155","4","FALSE","300",17.0470000000205
"elapsed156","4","FALSE","300",15.4820000000182
"elapsed157","4","FALSE","300",15.9969999999739
"elapsed158","4","FALSE","300",14.7779999999912
"elapsed159","4","FALSE","300",16.1570000000065
"elapsed160","4","FALSE","300",14.6790000000037
"elapsed161","4","FALSE","300",14.1149999999907
"elapsed162","4","FALSE","300",14.6969999999856
"elapsed163","4","FALSE","300",14.4510000000009
"elapsed164","4","FALSE","300",14.4660000000149
"elapsed165","4","FALSE","300",13.9570000000531
"elapsed166","4","FALSE","300",14.4780000000028
"elapsed167","4","FALSE","300",14.314000000013
"elapsed168","4","FALSE","300",15.4780000000028
"elapsed169","4","FALSE","300",14.9170000000158
"elapsed170","4","FALSE","300",15.9170000000158
"elapsed171","4","FALSE","300",15.6359999999986
"elapsed172","4","FALSE","300",15.9780000000028
"elapsed173","4","FALSE","300",19.1730000000098
"elapsed174","4","FALSE","300",15.655999999959
"elapsed175","4","FALSE","300",14.6589999999851
"elapsed176","4","FALSE","300",14.6729999999516
"elapsed177","4","FALSE","300",15.14300000004
"elapsed178","4","FALSE","300",14.1529999999912
"elapsed179","4","FALSE","300",16.1930000000284
"elapsed180","4","FALSE","300",14.5069999999832
"elapsed181","4","FALSE","300",15.0349999999744
"elapsed182","4","FALSE","300",15.9619999999995
"elapsed183","4","FALSE","300",16.1130000000121
"elapsed184","4","FALSE","300",15.829000000027
"elapsed185","4","FALSE","300",16.4459999999963
"elapsed186","4","FALSE","300",17.8490000000456
"elapsed187","4","FALSE","300",13.8790000000154
"elapsed188","4","FALSE","300",14.9220000000205
"elapsed189","4","FALSE","300",15.5939999999828
"elapsed190","4","FALSE","300",15.1999999999534
"elapsed191","4","FALSE","300",14.3069999999716
"elapsed192","4","FALSE","300",14.4569999999949
"elapsed193","4","FALSE","300",16.2619999999879
"elapsed194","4","FALSE","300",14.8349999999627
"elapsed195","4","FALSE","300",14.6240000000107
"elapsed196","4","FALSE","300",14.1979999999749
"elapsed197","4","FALSE","300",16.0210000000079
"elapsed198","4","FALSE","300",15.1269999999786
"elapsed199","4","FALSE","300",16.210000000021
"elapsed200","4","FALSE","500",47.0509999999776
"elapsed201","4","FALSE","500",44.8460000000196
"elapsed202","4","FALSE","500",46.4180000000051
"elapsed203","4","FALSE","500",45.1720000000205
"elapsed204","4","FALSE","500",43.8450000000303
"elapsed205","4","FALSE","500",42.5690000000177
"elapsed206","4","FALSE","500",41.8099999999977
"elapsed207","4","FALSE","500",42.4760000000242
"elapsed208","4","FALSE","500",42.5040000000154
"elapsed209","4","FALSE","500",45.3369999999995
"elapsed210","4","FALSE","500",46.4089999999851
"elapsed211","4","FALSE","500",43.2600000000093
"elapsed212","4","FALSE","500",42.9709999999614
"elapsed213","4","FALSE","500",45.4170000000158
"elapsed214","4","FALSE","500",41.6070000000182
"elapsed215","4","FALSE","500",42.9830000000075
"elapsed216","4","FALSE","500",45.3640000000014
"elapsed217","4","FALSE","500",40.6460000000079
"elapsed218","4","FALSE","500",44.6669999999576
"elapsed219","4","FALSE","500",43.1089999999967
"elapsed220","4","FALSE","500",53.9200000000419
"elapsed221","4","FALSE","500",41.4090000000433
"elapsed222","4","FALSE","500",46.7149999999674
"elapsed223","4","FALSE","500",46.1300000000047
"elapsed224","4","FALSE","500",44.5320000000065
"elapsed225","4","FALSE","500",46.9120000000112
"elapsed226","4","FALSE","500",42.2249999999767
"elapsed227","4","FALSE","500",45.304999999993
"elapsed228","4","FALSE","500",44.9810000000289
"elapsed229","4","FALSE","500",46.8040000000037
"elapsed230","4","FALSE","500",42.5569999999716
"elapsed231","4","FALSE","500",48.1840000000084
"elapsed232","4","FALSE","500",45.7239999999874
"elapsed233","4","FALSE","500",46.914999999979
"elapsed234","4","FALSE","500",48.5709999999963
"elapsed235","4","FALSE","500",48.3460000000196
"elapsed236","4","FALSE","500",50.6469999999972
"elapsed237","4","FALSE","500",41.4809999999707
"elapsed238","4","FALSE","500",47.6549999999697
"elapsed239","4","FALSE","500",46.4329999999609
"elapsed240","4","FALSE","500",50.0100000000093
"elapsed241","4","FALSE","500",41.7829999999958
