sample,method,MCC,ARI
Normal_4_equil_FALSE_pn_100_seed_6,PPM,0.478947368421053,0.457503914113174
Normal_4_equil_FALSE_pn_100_seed_6,PPM_window5,1,1
Normal_4_equil_FALSE_pn_100_seed_6,PPM_window10,1,1
Normal_4_equil_FALSE_pn_100_seed_6,PPI,0.889707225646966,0.873770826971841
Normal_4_equil_FALSE_pn_100_seed_6,PPI_window5,0.889707225646966,0.873770826971841
Normal_4_equil_FALSE_pn_100_seed_6,PPI_window10,1,1
Normal_4_equil_FALSE_pn_100_seed_6,ALDUQ,0.478947368421053,0.457503914113174
Normal_4_equil_FALSE_pn_100_seed_6,ALDUQ_window5,0.739473684210526,0.723041471941989
Normal_4_equil_FALSE_pn_100_seed_6,ALDUQ_window10,0.739473684210526,0.723041471941989
Normal_4_equil_FALSE_pn_100_seed_6,chull,0.485581582933507,0.328988116672668
Normal_4_equil_FALSE_pn_100_seed_6,chull_window5,0.552506251453083,0.422422929276277
Normal_4_equil_FALSE_pn_100_seed_6,chull_window10,0.52777126685853,0.38768306894154
