sample,method,MCC,ARI
Normal_6_equil_TRUE_pn_100_seed_38,PPM,0.644688644688645,0.614085184888105
Normal_6_equil_TRUE_pn_100_seed_38,PPM_window5,1,1
Normal_6_equil_TRUE_pn_100_seed_38,PPM_window10,1,1
Normal_6_equil_TRUE_pn_100_seed_38,PPI,0.920719123764985,0.906636788834915
Normal_6_equil_TRUE_pn_100_seed_38,PPI_window5,0.920719123764985,0.906636788834915
Normal_6_equil_TRUE_pn_100_seed_38,PPI_window10,1,1
Normal_6_equil_TRUE_pn_100_seed_38,ALDUQ,0.289377289377289,0.261367343119168
Normal_6_equil_TRUE_pn_100_seed_38,ALDUQ_window5,1,1
Normal_6_equil_TRUE_pn_100_seed_38,ALDUQ_window10,1,1
Normal_6_equil_TRUE_pn_100_seed_38,chull,0.47410465593076,0.283588213672072
Normal_6_equil_TRUE_pn_100_seed_38,chull_window5,0.537937997707254,0.375952013775226
Normal_6_equil_TRUE_pn_100_seed_38,chull_window10,0.537937997707254,0.375952013775226
