"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","11323",1,5,7,0.00388241819190238,32.9901471467767
"2","11323",1,10,7,0.00388241819190238,33.0733994425066
"3","11323",1,25,7,0.00388241819190238,33.3556694479323
"4","11323",1,50,7,0.00388241819190238,33.5935648019818
"5","11323",1,100,7,0.00388241819190238,34.2224971140047
"6","11323",1,150,7,0.00388241819190238,33.8284036978546
"7","11323",1,200,7,0.00388241819190238,34.6557419365442
"8","11323",1,250,7,0.00388241819190238,33.27687037892
"9","11323",1,300,7,0.00388241819190238,35.8133785179131
"10","11323",1,350,7,0.00388241819190238,31.7350203762769
"11","11323",1,400,7,0.00388241819190238,37.7381005796308
"12","11323",1,500,7,0.00388241819190238,38.1469039042469
"13","11323",1,600,7,0.00388241819190238,32.8164506126862
