"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","11042",1,5,21,0.00330344502123643,33.3264991463756
"2","11042",1,10,21,0.00330344502123643,33.336657822351
"3","11042",1,25,21,0.00330344502123643,33.4372396536274
"4","11042",1,50,21,0.00330344502123643,33.435648633578
"5","11042",1,100,21,0.00330344502123643,33.9825019749058
"6","11042",1,150,21,0.00330344502123643,32.5397555376732
"7","11042",1,200,21,0.00330344502123643,34.2987852921082
"8","11042",1,250,21,0.00330344502123643,32.4521020274714
"9","11042",1,300,21,0.00330344502123643,32.9339768308239
"10","11042",1,350,21,0.00330344502123643,33.9415093593427
"11","11042",1,400,21,0.00330344502123643,34.866376019473
"12","11042",1,500,21,0.00330344502123643,33.4133189509079
"13","11042",1,600,21,0.00330344502123643,35.4292939437701
