"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","10876",1,5,23,0.00187387974580414,33.8468884740153
"2","10876",1,10,23,0.00187387974580414,33.8717240519689
"3","10876",1,25,23,0.00187387974580414,33.9041337130138
"4","10876",1,50,23,0.00187387974580414,33.9253093972789
"5","10876",1,100,23,0.00187387974580414,34.0796170261443
"6","10876",1,150,23,0.00187387974580414,34.33669523317
"7","10876",1,200,23,0.00187387974580414,33.7293779652388
"8","10876",1,250,23,0.00187387974580414,33.8054354532171
"9","10876",1,300,23,0.00187387974580414,34.0273439844913
"10","10876",1,350,23,0.00187387974580414,34.6027584427335
"11","10876",1,400,23,0.00187387974580414,34.2719147624482
"12","10876",1,500,23,0.00187387974580414,33.7561137257895
"13","10876",1,600,23,0.00187387974580414,33.5504456444636
