"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","11454",1,5,9,0.00159546179755363,33.7700086383278
"2","11454",1,10,9,0.00159546179755363,33.8074313820548
"3","11454",1,25,9,0.00159546179755363,33.9783839157457
"4","11454",1,50,9,0.00159546179755363,34.1523917681713
"5","11454",1,100,9,0.00159546179755363,33.8143418495891
"6","11454",1,150,9,0.00159546179755363,35.0040711758961
"7","11454",1,200,9,0.00159546179755363,33.9512176953878
"8","11454",1,250,9,0.00159546179755363,35.1069680631365
"9","11454",1,300,9,0.00159546179755363,35.6394352288353
"10","11454",1,350,9,0.00159546179755363,33.8342499279494
"11","11454",1,400,9,0.00159546179755363,34.310084451974
"12","11454",1,500,9,0.00159546179755363,34.5474568467094
"13","11454",1,600,9,0.00159546179755363,33.9398655617807
