"","sample","shape","L","ZeroCrossingCount","ZeroCrossingCount_norm","tb_roughness"
"1","10932",1,5,13,0.00450919181408255,33.0680486375516
"2","10932",1,10,13,0.00450919181408255,33.1845990924214
"3","10932",1,25,13,0.00450919181408255,33.3118786172145
"4","10932",1,50,13,0.00450919181408255,33.76313536854
"5","10932",1,100,13,0.00450919181408255,34.288070853318
"6","10932",1,150,13,0.00450919181408255,34.1219776982896
"7","10932",1,200,13,0.00450919181408255,32.4058750299023
"8","10932",1,250,13,0.00450919181408255,34.9485090258162
"9","10932",1,300,13,0.00450919181408255,37.4240448331295
"10","10932",1,350,13,0.00450919181408255,33.0781467572906
"11","10932",1,400,13,0.00450919181408255,32.2135873930509
"12","10932",1,500,13,0.00450919181408255,35.2576238564999
"13","10932",1,600,13,0.00450919181408255,37.0657885554073
