sample,method,MCC,ARI
Normal_4_equil_FALSE_pn_100_seed_18,PPM,0.478947368421053,0.457503914113174
Normal_4_equil_FALSE_pn_100_seed_18,PPM_window5,1,1
Normal_4_equil_FALSE_pn_100_seed_18,PPM_window10,1,1
Normal_4_equil_FALSE_pn_100_seed_18,PPI,0.807856162288417,0.771920028268428
Normal_4_equil_FALSE_pn_100_seed_18,PPI_window5,0.807856162288417,0.771920028268428
Normal_4_equil_FALSE_pn_100_seed_18,PPI_window10,0.889707225646966,0.873770826971841
Normal_4_equil_FALSE_pn_100_seed_18,ALDUQ,-0.0473248524280301,-0.043322756661312
Normal_4_equil_FALSE_pn_100_seed_18,ALDUQ_window5,0.889707225646966,0.873770826971841
Normal_4_equil_FALSE_pn_100_seed_18,ALDUQ_window10,0.889707225646966,0.873770826971841
Normal_4_equil_FALSE_pn_100_seed_18,chull,0.467355381515586,0.303973982123705
Normal_4_equil_FALSE_pn_100_seed_18,chull_window5,0.52777126685853,0.38768306894154
Normal_4_equil_FALSE_pn_100_seed_18,chull_window10,0.52777126685853,0.38768306894154
